"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1","gini_ref93","t10_ref93"
"1","ARG",0.865608132163936,0.785099384516542,0.854311311178832,0.999742899072381,1.94462928670872,1.26147588160285,1.65143404157079,8.48422547997453,3.83310364826973,2.01967527845791,3.31619904655046,9.19431015090227,484868.995039615,16012.0638723564,24018.3316458914,22609294.7477207,0.0399787046488062,4.67914767670209e-05,0.0433474908543894,0.0646287295229357,0.0611601301786475,7.10686250042963e-05,0.0664081284740249,0.098020059888801,0.832227651708925,0.728687642741021,0.818141366478553,0.999803728150345,0.641009512332775,0.433410678059534,0.617543514402505,0.999575750161064,0.464,0.351
"2","AUT",0.583100600066772,0.562381752197971,0.583451731907675,0.610509313535726,0.592834721468929,0.546986878652724,0.594040479703939,0.657697067158259,0.955525140625047,0.848568823707902,0.958440699462126,1.10559019389938,27390.8236013618,25655.2347863489,27310.3816308297,29675.5448118657,0.158389771551923,0.147135042455792,0.158318985366545,0.167754325031088,0.196240122066073,0.182547397890151,0.195699004068221,0.207830313199153,0.522053181478932,0.499890370402303,0.522457305754721,0.553710228917355,0.2363131584941,0.207197919432799,0.236262970071528,0.276631348938764,NA,NA
"3","AZE",0.539446249795716,0.529858829892387,0.539545437855064,0.549431149001055,0.497726091661229,0.477752088924142,0.497503038257847,0.519038276143669,0.607820481436905,0.579539384406633,0.60921213362915,0.636336141526344,1709.47619885112,1659.12598096649,1710.10250124806,1774.44864040086,0.169630296526145,0.163808520382529,0.169780224361223,0.174555953553909,0.216803033226593,0.211623568451124,0.21718848928913,0.220695859100564,0.459333458931529,0.449239058074261,0.460113337048734,0.469145007949524,0.120342900868307,0.112454905717482,0.120084235276808,0.128498866297181,0.347,0.268
"4","BDI",0.564497431921702,0.552735564399636,0.56482669462445,0.577764026597555,0.541936830248648,0.517805364471112,0.542635858641154,0.571187914851063,0.729383020426324,0.691491134913315,0.729823381473088,0.781540396914761,556.113837575469,536.031599982145,554.573856555487,578.397754675631,0.161644823028531,0.15531528019643,0.16154542022349,0.167660747721134,0.198705866320311,0.191462561669045,0.198766707710011,0.20492387818181,0.496837425460154,0.483126179586932,0.496866379206144,0.513724741030991,0.159664061075938,0.146364358295551,0.160996526874815,0.1719959517777,0.333,0.266
"5","BEL",0.462082613778887,0.451396879933539,0.461745670085522,0.475387500456549,0.356676270561462,0.339502668434164,0.355670527294911,0.379552717413927,0.465408619462936,0.435942011515315,0.463937031247826,0.508621186224566,18530.4590435425,18000.7577643552,18525.7904726251,19183.590676844,0.215208886362265,0.209879766326647,0.215406413097128,0.220751285602082,0.252981110786107,0.246671940963848,0.253098430872716,0.25890056038951,0.398729487171763,0.386195186549218,0.397791944661323,0.416138875283915,0.114870753061012,0.106979870246214,0.114601256951331,0.127297637525908,NA,NA
"6","BFA",0.884720831858251,0.814853957908271,0.875623193923112,0.99976284578151,2.15727247755485,1.4831027400457,1.88832495442252,8.70069431189592,3.91208797215863,2.1731118511156,3.37902447289387,9.19268872820537,53567.2473462646,1794.13416939112,2740.90833820713,2501355.3268138,0.029685076723382,3.45389062533404e-05,0.0316001996900678,0.0484075131958466,0.0534789748750258,6.29673168039684e-05,0.0570024793144408,0.0867573388471217,0.84833947803434,0.756421386608138,0.836607810682144,0.999820048317287,0.65482030348859,0.456105216588597,0.631416689552671,0.999570211977075,0.481,0.395
"7","BGD",0.407176702698638,0.393204294974298,0.407152089154543,0.416096818419084,0.262760979326732,0.244315400598843,0.262682540919102,0.275011459046504,0.29790587040065,0.278815015137177,0.296841071428092,0.311589467156988,606.412646421596,585.245507332969,606.359249458591,620.383438912336,0.232818309663933,0.227442916432675,0.232922182801742,0.241658396667747,0.26811887422641,0.262871775304623,0.268272196869144,0.27592526431806,0.330519741749279,0.321112619691367,0.329980760510186,0.337593620119303,0.054986286487309,0.051554251756366,0.0551852076945622,0.0595462657126264,0.3025,0.257
"8","BGR",0.400656491299321,0.392321169003103,0.401108407614667,0.409966162241719,0.264427500689302,0.252065217583983,0.264711044838017,0.278005022728914,0.343293035167547,0.317410252044381,0.34275501628742,0.368325593992333,4946.40754410742,4861.47162667933,4934.94669646937,5055.74492843034,0.249554886583262,0.244223790723568,0.249324074754977,0.253906477998148,0.276666577602731,0.27297812969991,0.276648646303466,0.28113606306027,0.349635610323977,0.339081965303277,0.349821875234409,0.360629884053872,0.0920911503929516,0.0823929601452522,0.0916916466062242,0.0989615147752776,0.307,0.247
"9","BOL",0.890984142153296,0.819470353718404,0.883969303979241,0.999762436143588,2.24604740396113,1.54199018506785,1.9917938158372,8.73083750932072,3.81496349489025,2.11507249283077,3.30829703195989,9.19273441590373,257917.379047585,8893.01280021574,14179.6414056422,11997453.8103496,0.0258394571521892,3.2593934539511e-05,0.0273462877517127,0.0437740914800238,0.0497590246005119,6.23620932681603e-05,0.0527492010127411,0.0837459488796888,0.853815846297111,0.757333986262218,0.843823330424424,0.99981530558209,0.650358502548389,0.435523466872574,0.621200283220135,0.999555321197037,NA,NA
"10","BRA",0.907148419560277,0.846346529727297,0.902565603320315,0.975779816832561,2.5880710684997,2.0113209992504,2.49409075233004,3.87148483135258,3.70130557058914,2.21185220421109,3.3384155413597,6.62098376212426,20733.1882857178,10581.6873279433,17525.4944528799,69050.2047158219,0.0156445028052212,0.0041308196281197,0.0160209508239347,0.0267219349197024,0.0409622125814447,0.0106220069864665,0.0419034334160665,0.0698487356574213,0.866358835022467,0.775168442976667,0.861246467670719,0.965977418107177,0.645072602302166,0.439396361847269,0.630382058383511,0.906255385684355,0.576333333333333,0.452
"11","CAF",0.910314559007526,0.867992469650888,0.910004111344975,0.965373572660156,2.60906774162308,2.1703534748283,2.55964028917498,3.5254925749695,3.72428627311666,2.43567333150624,3.47647176586628,6.07184653629048,2286.76182161915,1393.55681667969,2046.51615732004,5484.77476145383,0.0147798018740972,0.00572609891160587,0.0151257059156393,0.0224113015253093,0.0389349660561152,0.0149830194652513,0.0398438420306274,0.0582038652770902,0.870978971587555,0.809756712127231,0.870340458456366,0.950828122664188,0.650403828149446,0.489104776645353,0.647872365487153,0.863014836687849,0.613,0.477
"12","CAN",0.573756255274267,0.550186351811293,0.573868645217335,0.597341076112708,0.577484743178044,0.526231343415031,0.577606211332604,0.633800562140564,0.928320793232024,0.784355533253583,0.9251443347493,1.09467533879631,27029.8521501112,25519.0147974886,27048.1453087799,28903.4969417001,0.162126385697621,0.151661993943072,0.162288213634803,0.1721708342393,0.204848967656275,0.192461485785225,0.204837763151339,0.215914318157551,0.509076695882981,0.482070471864212,0.509516503109037,0.535350643650004,0.229834129559304,0.192608683646098,0.228557011489244,0.264857589073029,0.3115,0.236
"13","CHE",0.586452331551979,0.566431883664268,0.585975895712592,0.607260411704222,0.606301963751431,0.561018411300333,0.603794028712017,0.655467420903619,0.90605742914539,0.806310812905756,0.899338897773269,1.01453027327346,33675.543499853,31964.8672464816,33509.0018761757,35801.3091338351,0.154383770003675,0.145845576890657,0.154661694728383,0.162160265012763,0.198714562842528,0.188008585074723,0.198225000080164,0.208516564242411,0.519012385700515,0.494255594141681,0.518476690557936,0.542388602457658,0.221501022169634,0.194350674208981,0.221798221843713,0.250866938385934,NA,NA
"14","CHL",0.896130964704412,0.837509214376053,0.892062703653339,0.999769419670731,2.33814278893289,1.69360398453336,2.1229331277598,8.8399800027793,3.83089818635925,2.26307669096479,3.3988474236413,9.19296975877959,416295.004066783,15078.7892357708,23165.3144735179,19424893.5956417,0.0230923645828915,2.83634332088267e-05,0.0235589671289298,0.0369328671084356,0.0474369179694527,5.91309855277103e-05,0.049285444806822,0.0742375289337845,0.858358937690798,0.778440768090847,0.852579427934508,0.999821516385644,0.654075914223079,0.466161897156895,0.638501627507589,0.999550521318672,0.556,0.4555
"15","CHN",0.751432309274914,0.715937877514573,0.752187980742191,0.780039413731443,1.10557067569135,0.971181939173559,1.10680361465132,1.22358403228179,1.94074217103177,1.5446062388101,1.95259773358309,2.26880096420255,1793.35961829684,1563.86261612428,1775.04611489052,2031.87048268392,0.0836618369146975,0.0738320418679173,0.0836676792607948,0.095903147556548,0.114773174909098,0.100888312306716,0.114366546756631,0.131602839803627,0.702008691911624,0.659219879144556,0.703020480358202,0.737710882112337,0.425494771592097,0.341590088627731,0.429112087641151,0.486337391467531,NA,NA
"16","CIV",0.763472407087363,0.723779840094721,0.76241177635596,0.814405780524197,1.1428328044897,0.983462548851833,1.13387864850341,1.38096547759134,2.17562314984845,1.70606552770153,2.13712471616508,2.79274832611288,3426.0876810346,2870.93664712736,3398.41014220767,4440.29236030165,0.0813822318791343,0.0627121193626195,0.081170691201468,0.0958645836388656,0.104889267005736,0.0815934065657953,0.105251065624673,0.123361272082842,0.722300204712824,0.675451534080788,0.720634994678141,0.780784865229076,0.464100868184447,0.380855544492871,0.45893921241998,0.567778790247737,0.4,0.3115
