"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1"
"11","CAF",0.898124620993406,0.844819201662035,0.894508203575207,0.999768239573469,2.35294956105868,1.74634511051371,2.13809056248649,8.8195974175407,3.87072255097408,2.28107526534052,3.4403594520497,9.19683076293775,24151.2197376525,942.360856976874,1392.89112816091,1124778.91723316,0.0225433645478355,2.90325489159173e-05,0.0231108516857351,0.0351769776067335,0.0463384185654134,5.93371466777586e-05,0.0477621841199256,0.0718024367126701,0.861067077557601,0.787967496863994,0.855851557637193,0.999821725895341,0.658891314210563,0.469292726412303,0.646753148729716,0.999544639550881
"12","CAN",0.449107114691441,0.424206991390038,0.447552318551381,0.478594107959342,0.351583194916895,0.30851255685626,0.34933830357412,0.401611328691868,0.491867013850317,0.375722745477123,0.489584157415956,0.646960193675371,19325.1502827176,18343.7578727567,19260.7694809454,20577.3620522289,0.221484927789936,0.208512586331544,0.221698571666932,0.231425013051163,0.27424638832046,0.25836963795811,0.27472152885283,0.286748661107028,0.379082695716281,0.350819331123246,0.376839974456593,0.409952112770933,0.13191786558967,0.0991396440800034,0.130047198243737,0.16998523554462
"13","CHE",0.465200884574657,0.449178690495108,0.464694411830976,0.488424388082932,0.379624656076954,0.354890277575053,0.378795387475577,0.420424041723476,0.496795392844945,0.43923865445313,0.492797903737199,0.574083899221141,23920.2641875673,23044.0576940497,23903.4888510321,25103.8695246787,0.212650472147782,0.201817845495085,0.212445876308698,0.218938664549741,0.267537221820865,0.255091979652669,0.268065406789641,0.277053021871216,0.392336395762485,0.372610645858443,0.39157888785079,0.416210078426149,0.130970943635632,0.114526453001702,0.129932704728265,0.156686109675364
"14","CHL",0.872925222229939,0.793596530518965,0.864998248614583,0.999758775650035,2.04193636960088,1.33836975597081,1.76148013524116,8.62240943445452,3.81856933615276,2.00246936816435,3.31943653204657,9.19801447590742,310581.100052809,9695.65487512292,15156.8466720099,14507793.0379605,0.0352732586524724,3.94735195604186e-05,0.0376504637549643,0.0577870225225722,0.0587742713012851,6.50620922506952e-05,0.0623216748083517,0.0962855108565727,0.836862501922801,0.734798497866039,0.827538385161668,0.999819605890863,0.640710767120622,0.417178843157053,0.618851399817921,0.999595974803438
"15","CHN",0.594511290826764,0.548378322661136,0.587084887967487,0.721045877956851,0.633821079701219,0.525534132339665,0.61011141689726,1.00402539686182,1.13390808081509,0.720404931822214,1.02007519278309,2.83825951317084,977.296770859269,864.467696799463,947.62659769987,1398.52205525989,0.149653241464697,0.103670257019441,0.152246512592359,0.166297178464252,0.199850507590976,0.137620165717708,0.203565006566596,0.224600220273974,0.522502496633507,0.4670633389482,0.513757985220427,0.672628255077352,0.254589376382541,0.171234073141869,0.24402969623635,0.493463923354875
"16","CIV",0.556646472115163,0.539467972667732,0.555798958588016,0.572835423402148,0.535325128066104,0.498989233283391,0.53452970254975,0.570304981003806,0.78939446853974,0.711571697644581,0.785495949047693,0.873950038220458,1609.97923787285,1553.88127572859,1604.37209436569,1686.58604030161,0.169247176144521,0.162599977761408,0.16950367119649,0.176934800196775,0.21004498814604,0.201605299306393,0.210640254004146,0.217683745093085,0.491662731171761,0.473438208341504,0.489802816970829,0.510773599487454,0.196116542963692,0.175169490021025,0.195119935710547,0.219596407622646
"17","COL",0.86519664884492,0.769864067629247,0.858965583616685,0.999744368144577,1.94089043690166,1.18948623263744,1.67936122148474,8.48749440285462,3.91330771099512,1.87088277370674,3.39467823751356,9.1975927808339,230266.901364919,7118.17907424923,11672.5304275336,10745141.6108827,0.040852103452282,4.69718324807257e-05,0.0427133395481806,0.0702011241773117,0.0611854454525574,7.01209474188769e-05,0.063918143184177,0.105746263805238,0.832986656303952,0.714211630058707,0.825132323753506,0.999806830986364,0.64604803468011,0.401735294886469,0.637690570458335,0.999585578160251
"18","CRI",0.717827318658316,0.678115578441681,0.71660062926514,0.761919641444713,1.02317438985317,0.887743544544422,1.01815738015458,1.19164945813105,1.75342225607496,1.28879542382508,1.71158023360587,2.29678915655733,6277.28792136803,5428.10881799788,6251.0114105728,7527.65009604833,0.0937237732467764,0.0786085782037627,0.0941299095310489,0.10800188628819,0.141895688536975,0.118693578047829,0.141922616711495,0.163333133517198,0.651463368750813,0.600541999378069,0.650335941182904,0.706294342581139,0.377571552014774,0.295866220441103,0.378006491558744,0.46889496557138
"19","CZE",0.372778348230902,0.363842910402663,0.372910303033302,0.382724642095268,0.227962370738354,0.217263240383647,0.228038720342127,0.240597726305789,0.300002229435231,0.282772714375597,0.300324738187961,0.31869914614619,6315.44552127734,6179.62552345443,6319.79287110258,6449.31859694912,0.265899812040235,0.260963485633984,0.266061870561858,0.271043399547994,0.283312787823149,0.279079243315425,0.283326577704306,0.287258423527645,0.331591357451636,0.323354297298028,0.331386836374026,0.341066619360952,0.0850438696977183,0.0789659210798858,0.0851102967852225,0.0896863421174417
"20","DEU",0.429511545637152,0.413539305352346,0.430851271197703,0.44271021722562,0.316852330546853,0.292432814533896,0.316713530762503,0.336799803466181,0.434282938911797,0.371120044935001,0.433558585154337,0.481632075151552,17286.0499436063,16781.0453232889,17288.0394484541,17867.4306772761,0.23379364244624,0.227098025284823,0.233271577653134,0.242194241362828,0.277993216725887,0.271120670077241,0.277224915157225,0.286614432196789,0.367373870086036,0.349130861913637,0.368716599902021,0.382843940116709,0.121252984386702,0.102261368090982,0.121730603225745,0.135744193273932
