"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1","gini_ref93","t10_ref93"
"1","ARG",0.54527052035179,0.513044593725679,0.537649212225147,0.864999370164805,0.555105509026377,0.477179347496997,0.5291381506433,1.75713053398998,0.828748281473643,0.572744967066324,0.698200019861741,6.09306990006863,6274.37816281625,5682.4367979369,5949.98775379916,20454.9254658562,0.16401549607232,0.0485132448301728,0.166804543716352,0.177653332215892,0.237165856545704,0.0704135542044295,0.240358712940465,0.254691252185445,0.449846975092231,0.412977268155975,0.441375214107531,0.836571055772354,0.180622845852869,0.131628771206647,0.169362962234435,0.754815318913395,0.464,0.351
"2","AUT",0.368222005089885,0.354393372303659,0.365944594208438,0.463260394342545,0.234494128768291,0.214829637341635,0.230115621336564,0.392999865668877,0.30048545305187,0.245419737154201,0.273726819651539,1.15607136267304,15973.9201080214,15644.1252755587,15892.7688241081,18852.1180177048,0.262556232098501,0.222138050288275,0.263666051523984,0.269344950320729,0.314565419005666,0.267486536923924,0.315810480621008,0.321135711075604,0.302595286015184,0.289539294039216,0.30017439460715,0.405918392910465,0.0839199416939028,0.0687056826721924,0.0792848268235672,0.213037778699357,NA,NA
"3","AZE",0.416135000245601,0.400594828828913,0.415862178178819,0.441294432166077,0.303432777066997,0.278978321804528,0.302535938557249,0.346459750132862,0.395769224234615,0.3288580255291,0.380932512108794,0.594659395353012,1188.08840288571,1148.42844133994,1182.54088627721,1241.05843173071,0.236064459208633,0.225085039929001,0.236065221501947,0.243559024583553,0.294825517768205,0.280685935965858,0.29538397041046,0.302650021408416,0.342083620352306,0.325221274347325,0.340996161711977,0.371122269412419,0.10675714893844,0.0878984070197857,0.103983483112334,0.147953576720852,0.347,0.268
"4","BDI",0.401836170418528,0.382118900082517,0.396745478031615,0.578054011966175,0.274609096823215,0.244043234761626,0.265564958854429,0.621001239276244,0.404162885017508,0.295081844804939,0.352171031670316,2.41465083416965,355.991395780824,341.73281364676,351.518188721159,505.970141594023,0.245628623267259,0.17349987947295,0.247595523842146,0.254494679106658,0.291704624284995,0.20537109273644,0.294377312758415,0.303317434726261,0.337940085385091,0.314721987228367,0.332564492848153,0.533190576627162,0.106991087617205,0.0817380186117758,0.100111290780692,0.367891319316536,0.333,0.266
"5","BEL",0.325340747017922,0.317294800445391,0.325019063186687,0.339848980809383,0.18322820145977,0.173342082158514,0.182824454711153,0.201829602837611,0.218470409980304,0.195875797310004,0.216142356182954,0.272369382188745,13406.1580251146,13195.3867510463,13380.7277391948,13727.7169037415,0.289166664141947,0.282069174850459,0.288952509528352,0.29405227512279,0.331070078336441,0.324057889607385,0.331198135919084,0.335099907304044,0.272869038660297,0.264559663657547,0.272395190944992,0.286894813817834,0.0683727307260389,0.0597198640866691,0.0682606168382021,0.081960503743607,NA,NA
"6","BFA",0.709546637292103,0.639925771469789,0.699122289372633,0.87201242648544,0.958037231245455,0.725714011830888,0.902845431291178,1.75792577866565,2.0428284530272,1.20773069215676,1.78523009170105,5.20545959388779,917.580780186057,703.05795456219,844.468648804075,1963.17656797782,0.103938281220092,0.0462459644629191,0.107858412922669,0.129857212009387,0.13386598292133,0.0592615408337275,0.138968034078584,0.166636302779489,0.659794540702203,0.575595770355134,0.648685594419226,0.851370074492832,0.408272249975057,0.277309557321099,0.389870690439227,0.739878621983486,0.481,0.395
"7","BGD",0.419661562841272,0.395151742977456,0.417987924080106,0.455278839599275,0.295948270271398,0.25693249197934,0.29163437076393,0.356522350400743,0.465501317219128,0.34828802799231,0.441432905250308,0.736687972599832,589.517187833096,565.064662646758,589.004171706237,621.709419568153,0.240772806069801,0.225857421184937,0.240661810389115,0.251549629551346,0.270864908457515,0.252794124036268,0.272040666354195,0.282194424398826,0.36893344739253,0.342564579667618,0.366855063946685,0.40790768592983,0.130117158875896,0.0981420384830829,0.128139840553282,0.180977747859309,0.3025,0.257
"8","BGR",0.280384705477192,0.27314087189898,0.279851085899657,0.29205442450622,0.134267348176943,0.126319759300522,0.133978702070567,0.147314438467785,0.158760570296698,0.141148092830121,0.158101041164093,0.190675608106179,3806.2784096438,3744.73469479544,3797.01039987428,3879.07907888343,0.317202366427155,0.31182321970904,0.317681746828998,0.321383033366218,0.34281297981259,0.336128573479713,0.343486756308579,0.347175461214417,0.245150873714534,0.237025507392168,0.244452413852477,0.25766226869939,0.0559092078250637,0.0482868454949249,0.0556889796068153,0.0660503629870613,0.307,0.247
"9","BOL",0.723609701590868,0.654617621008633,0.705792324832889,0.996186684076026,1.08330288439062,0.774386430409569,0.934387685117813,5.30597437418115,2.14219532813922,1.19541139746519,1.75184461445194,9.03991253177081,11023.4052398165,3454.25358015143,4087.81883496649,331903.682186657,0.0938617418790944,0.00124872005425139,0.100010323852507,0.11844990701482,0.131721454860606,0.00176010147372732,0.140476921532612,0.164772333762853,0.664975528971162,0.582186159395402,0.643884840166879,0.995486546905676,0.409658486301765,0.271365036349271,0.375352945247269,0.991813661535072,NA,NA
"10","BRA",0.79497406695082,0.724552209700098,0.783596560197189,0.998364604036503,1.44374498497274,1.04492925464863,1.2885006825316,6.23500571349377,2.59287658417569,1.45387254533243,2.21983626749661,9.1265345534555,20271.8804071578,4020.32537774379,5218.20639708933,734744.516145759,0.0595775063587779,0.000445728947957857,0.0624381690410807,0.0810615118341685,0.0993364857256468,0.00074067585904683,0.104307083226547,0.134696015237533,0.734748711298298,0.644162535888394,0.720570816280508,0.998022832588217,0.479352844177119,0.313371123468204,0.452685225833919,0.996007886525193,0.576333333333333,0.452
"11","CAF",0.76226878025757,0.724405068427917,0.760775806001865,0.866832625081069,1.24515362051761,1.08821971931905,1.23556260784903,1.81441050467111,1.9442727120484,1.37903096669543,1.80109465404672,4.56850018324192,524.639983014546,439.613781044206,509.916294689487,910.021211115113,0.0648615949768565,0.0363315178976905,0.0644733115076536,0.0757855044230711,0.118246407251019,0.0656056648239163,0.118605270467802,0.136857863071622,0.681786407477056,0.631639897658384,0.679485896011384,0.821190375997293,0.385662939059737,0.29063393025894,0.373196418671566,0.65578139305554,0.613,0.477
"12","CAN",0.357451226703,0.347452614335306,0.357295449775528,0.364773507903166,0.222008619082389,0.210558063129437,0.221084605643133,0.233095744499245,0.246679245536903,0.227044945866558,0.245190168570313,0.281100403503901,15881.1135750625,15607.1897735977,15894.0463624668,16179.9399785241,0.264274958617444,0.260030425348382,0.264538993495446,0.26974772213652,0.325878205445388,0.322264858547197,0.325787141527554,0.331476999776903,0.282846235188947,0.274642691067622,0.283318538818492,0.2905488533194,0.0681055338813392,0.0592186280336927,0.0675080045524337,0.0776067590645231,0.3115,0.236
"13","CHE",0.381367076241466,0.37200371459354,0.380579826233896,0.403779453258756,0.260024806888496,0.24726274653969,0.258699407252313,0.29492602229764,0.29863099794002,0.269085336201685,0.292730692971338,0.398571089813906,19754.7002312606,19280.575250058,19724.3386151527,20363.8784492554,0.252805774110997,0.242345064084324,0.252912635547488,0.257713870715339,0.317732535726685,0.307817354713656,0.317958472169901,0.322264479463239,0.305023278220331,0.29613767259632,0.304492340074661,0.328139979380495,0.0818131491938871,0.0734697785346815,0.0811425479370959,0.106661269322987,NA,NA
"14","CHL",0.746623330415321,0.699568293132676,0.746311135428117,0.805315920870947,1.09786493221562,0.927227072773038,1.0926636025946,1.35869773584906,2.05562207006585,1.45864441658497,2.01677760529655,3.03085146112277,7120.1301412601,5920.08679520073,7072.52505904393,9301.80944483383,0.0856162110623917,0.0656588886780704,0.0853582466022883,0.10135018304961,0.120617554065156,0.0929902476439464,0.12073272914841,0.144499261481703,0.69387833739795,0.633218676021904,0.693351373588155,0.764086652191965,0.433176255322936,0.32878858193651,0.432218602590734,0.566208947327511,0.556,0.4555
"15","CHN",0.437419716876026,0.427198288011076,0.437428886023219,0.448877226193493,0.324816017422735,0.309329468673977,0.325079381201218,0.344891352937446,0.379729120817243,0.343768328282533,0.376882929488865,0.429406406313447,657.341048668227,642.050609337883,658.369876794262,680.276567261706,0.215384998481965,0.210568565810105,0.215564626672686,0.220692251062828,0.285175870762188,0.279690553962875,0.285769406962206,0.290334097661632,0.34340619365189,0.332104816648395,0.343230201010247,0.356655876414675,0.0910739930892379,0.0786718044370965,0.0904455114923905,0.103929288650246,NA,NA
"16","CIV",0.454795383837014,0.427167700221322,0.447589092092738,0.725969100030643,0.357787171446608,0.307281729188074,0.341105111420007,1.04063006354617,0.568980041379896,0.388328623592141,0.474238829414007,4.21707473703946,1245.00363554351,1173.40544570802,1214.54546810031,2464.27514821672,0.217014872681605,0.109301398616442,0.21941517300429,0.228809392713745,0.268391305285087,0.134639485518316,0.271975873721717,0.281869456037245,0.383472704964451,0.353490789806916,0.375228562343887,0.690466122236386,0.1383673827764,0.102330278096518,0.126494439535972,0.566059433581966,0.4,0.3115
"17","COL",0.675819221885212,0.613999413678263,0.667910909891136,0.988676318077031,0.90570706880378,0.677182588434978,0.824623295888254,4.21078372326037,1.67629660639186,0.938851371758309,1.39634970547761,8.79920806499328,7021.83447455991,3750.83417984951,4394.25966104154,130624.455046761,0.110573194149264,0.00384034833981107,0.113352535171498,0.131297905999166,0.159436954784727,0.00550110475982146,0.163243257556076,0.190754912117241,0.60367908283543,0.52670002836982,0.593631784523274,0.986286755723324,0.333524612853332,0.21330580389045,0.315317698994539,0.97679217212663,0.515,0.405
"18","CRI",0.552540502746464,0.529151032486818,0.547941055474509,0.607523093670502,0.577626361554224,0.528251291875288,0.566024832249702,0.708501771719618,0.762992623578161,0.610972742950575,0.707111372598139,1.53054663984837,3607.70885161953,3417.98869242259,3575.20481124726,4041.54818641287,0.158228484713221,0.139731203778963,0.159585218349083,0.167169011956338,0.238189552054755,0.209025031946368,0.241030474930316,0.250895890171368,0.451374927167142,0.423910556354799,0.44553935048316,0.519522343574996,0.175254347436651,0.142862632927071,0.167187414822533,0.282058636726945,0.4616,0.3416
