"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1","gini_ref08","t10_ref08"
"1","ARG",0.461536332172627,0.448959225904368,0.461393478543557,0.470027216520805,0.406743010285342,0.3839313325312,0.40665735231643,0.422491443833063,0.386332703879153,0.356909083152719,0.388975047013654,0.413498860319425,6480.00918294128,6356.98166854111,6464.25540100884,6642.16873569143,0.191844033090322,0.187513302989648,0.192099255882824,0.198438283055684,0.293086495474484,0.286912730500803,0.293074594225994,0.30083305397789,0.336043926415758,0.324326960959456,0.336107163953255,0.344608709224302,0.0773117675654856,0.0685767474296789,0.0774072548774175,0.0866591222428088,0.4486,0.3214
"2","AUT",0.278830463973569,0.274109322117547,0.279256774761961,0.285240513852737,0.129439353384366,0.124459938165215,0.129689845084414,0.135499687280502,0.134093183433668,0.126721619626099,0.134549627916321,0.143077412255351,14839.1818873909,14717.7809554321,14835.5153835891,15058.9857672743,0.310066342374292,0.3062472520369,0.309884031483919,0.31324536836935,0.354223433703626,0.35104173834012,0.354153653143278,0.35671144068816,0.225100289448296,0.220249459218481,0.225195206111175,0.230471336882313,0.0405446707258099,0.0374421331887895,0.0403929997785134,0.0455325262119329,0.3048,0.2396
"3","AZE",0.338436595222071,0.329273245814951,0.338715833587238,0.348079645368417,0.189314523653666,0.177852149008244,0.189478164411549,0.202415250194126,0.217052971243876,0.195021365287219,0.216281752654462,0.246383319239231,2417.66429317144,2378.14258596427,2417.79699948243,2477.38709341847,0.275796909829408,0.271291985580786,0.275850197007775,0.281024752313702,0.324691011243432,0.320592718813724,0.324551756841725,0.32859473880695,0.273750668853223,0.26441558464318,0.273656118559497,0.28387227511182,0.0621244645068105,0.054073663756063,0.0618946165538632,0.0696011444886356,NA,NA
"4","BDI",0.334636912953476,0.323139813347918,0.334849787959189,0.345157670647373,0.182044827361479,0.168618474015785,0.182237274315311,0.19682590458671,0.225672513850355,0.200094896961884,0.225142441283599,0.268365447835227,348.609822259193,339.449060304534,348.455818355738,354.884945301349,0.2811274005452,0.276538705787274,0.281035184154055,0.287066278992049,0.31524169333575,0.310788762889332,0.314741028301233,0.321144136511262,0.282453393073362,0.27135993462677,0.282801544410801,0.294366140523368,0.0685547996553358,0.0602023385997221,0.0682113602940464,0.0817710363748068,0.334,0.28
"5","BEL",0.284945546736841,0.279598433456309,0.284644595694521,0.291989602924473,0.140094496503764,0.134828998094268,0.139621654673131,0.148557133570522,0.146510236656171,0.138268300664091,0.145834386552809,0.164632635556518,13072.9226720604,12912.2291989058,13079.2783510717,13282.157425696,0.30830335557393,0.304748835914098,0.308434337027697,0.311454403839841,0.354499887012464,0.351720064270271,0.354582747544277,0.358537604776329,0.231298049442759,0.225367707909191,0.230919464604203,0.237372916096028,0.045637412295472,0.0421651154489518,0.0456536935565961,0.0527967324781526,0.2852,0.228
"6","BFA",0.399542172763374,0.389685766667611,0.400292115080092,0.409661104319668,0.266589830319489,0.251605212115332,0.266969145901884,0.281557205716563,0.325529007873915,0.288362716204416,0.319394518806382,0.390495951960625,676.173178571043,660.160997255253,675.946764963859,692.868726779888,0.240629343255177,0.235711246364001,0.240242536644855,0.245074745531724,0.297902600823848,0.292031390334109,0.29809551763447,0.30351090876835,0.322000242163467,0.310530347894356,0.321456775657058,0.335097771777155,0.086262706507814,0.0739613961788131,0.0861893293394639,0.100374399984504,0.398,0.32
"7","BGD",0.322199727840111,0.314118594365838,0.321821273088457,0.331518485212627,0.168795126335207,0.159116476343693,0.168235923708106,0.180136626068823,0.202392454149427,0.184262135394834,0.200327288293451,0.228667246902675,621.280742039255,612.196589940723,620.876379148915,632.822726906977,0.287585717394247,0.283322127950792,0.287901621957376,0.291952101388379,0.323306178145122,0.319092264819104,0.32358298423205,0.327628544894832,0.269973059430501,0.262865021343709,0.269970763024794,0.279847046748124,0.0620183403223001,0.0550859486609072,0.0617870762743346,0.0694476405388328,0.321,0.269
"8","BGR",0.282925439566061,0.276753503935313,0.283253093904776,0.28823407034183,0.139156794176728,0.133322703234595,0.13928101235277,0.145098983147076,0.136411454587163,0.12784025715073,0.13630488086791,0.1417042422946,3285.24344464417,3242.36355957639,3285.44225533097,3334.77318804045,0.30635322987648,0.303208080239093,0.306033892408674,0.310432199155906,0.360616708301684,0.357768982531966,0.36067797961305,0.364416900278247,0.221681643944799,0.214998462760573,0.22184810790442,0.225451835744209,0.0387920368728441,0.0351428710898622,0.0386696072501965,0.0409044023679285,0.3498,0.2652
"9","BOL",0.562177318882531,0.547749322950009,0.561682324441714,0.592107649578717,0.661421459111769,0.626047859921534,0.65981828792301,0.732842839915449,0.67858649178175,0.601728861581269,0.665619515197776,1.06803531351617,2574.24804868472,2480.71681074591,2566.79533276513,2787.47920863158,0.140946299792618,0.130802465532236,0.141000417218865,0.148184460655063,0.24446578298297,0.22729392352393,0.244515820984991,0.253897168897981,0.433089583253625,0.417350760691239,0.431700372254887,0.470015984821477,0.143172476413877,0.122159129033995,0.141074409556464,0.20225377588975,0.528,0.402
"10","BRA",0.55103829493515,0.525561326014701,0.550453784319156,0.576375880159974,0.583451950189283,0.530409204124773,0.584095531353064,0.640799582895974,0.655877787682136,0.548764698863989,0.644238773880311,0.83750885588538,4263.52685338617,4009.6248021065,4274.42676904248,4559.88228048171,0.150304449029339,0.141636285197619,0.150140170997482,0.160773731817918,0.240960557991204,0.226075678804142,0.241447488572026,0.256427248225901,0.431850643262329,0.401271731744606,0.43113665564406,0.463305632898725,0.141979805241944,0.114111585808251,0.139729452478197,0.183668787228146,0.5455,0.43
"11","CAF",0.561609313325264,0.53951031164888,0.559174705283078,0.599722479782184,0.570140465656782,0.522080228448997,0.565331358630475,0.655681104123682,0.753337328285882,0.609912363078941,0.719585010191017,1.18647631397467,616.812681561284,580.199651303069,613.312336173442,674.862881214103,0.151866136481492,0.139618077683617,0.152836889295787,0.160347942798359,0.225696962801022,0.204276933253458,0.227352819084813,0.236720172133561,0.45949019831058,0.432398531795191,0.455717366276761,0.508849433754856,0.170798780763133,0.135211009003926,0.166902121964799,0.238951584757439,0.562,0.462
